Boolean_comments_disabled;Boolean_ratings_disabled;Boolean_video_error_or_removed;Contain digits_channel_title;Contain digits_description;Contain digits_tags;Contain digits_title;Letters counter_channel_title;Letters counter_description;Letters counter_tags;Letters counter_title;Number of objects_thumbnail_link;Upload day_publish_time;With special characters_channel_title;With special characters_description;With special characters_tags;With special characters_title;Words counter_channel_title;Words counter_description;Words counter_tags;Words counter_title;
"0";"0";"0";"0";"0";"0";"0";"2";"137";"47";"3";"3";"1";"0";"0";"0";"0";"0";"29";"6";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"144";"54";"3";"1";"4";"0";"0";"0";"0";"0";"39";"5";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"44";"56";"4";"1";"5";"0";"0";"0";"0";"0";"8";"5";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"16";"8";"3";"2";"4";"0";"0";"0";"0";"0";"3";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"54";"40";"3";"2";"3";"0";"0";"0";"0";"0";"15";"6";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"28";"10";"4";"2";"3";"0";"0";"0";"0";"0";"6";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"128";"33";"5";"3";"1";"0";"0";"0";"0";"0";"38";"3";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"176";"19";"4";"0";"1";"0";"0";"0";"0";"0";"49";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"177";"30";"3";"2";"7";"0";"0";"0";"0";"0";"43";"4";"0";
"0";"0";"0";"0";"0";"0";"0";"1";"225";"22";"3";"2";"5";"0";"0";"0";"0";"0";"41";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"160";"52";"4";"1";"4";"0";"0";"0";"0";"0";"25";"8";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"38";"18";"3";"2";"4";"0";"0";"0";"0";"0";"6";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"118";"51";"4";"0";"1";"0";"0";"0";"0";"0";"27";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"2";"132";"9";"4";"1";"4";"0";"0";"0";"0";"0";"48";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"78";"0";"5";"2";"1";"0";"0";"1";"0";"0";"13";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"67";"44";"6";"2";"5";"0";"0";"0";"0";"0";"13";"9";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"77";"4";"3";"1";"5";"0";"0";"0";"0";"0";"12";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"107";"16";"4";"1";"5";"0";"0";"0";"0";"0";"34";"2";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"37";"47";"2";"1";"4";"0";"0";"0";"0";"0";"5";"8";"1";
"0";"0";"0";"0";"0";"0";"0";"2";"7";"0";"3";"8";"3";"0";"0";"1";"0";"0";"1";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"142";"20";"3";"1";"2";"0";"0";"0";"0";"0";"46";"2";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"25";"14";"5";"2";"1";"0";"0";"0";"0";"0";"9";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"86";"26";"4";"1";"7";"0";"0";"0";"0";"0";"30";"4";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"193";"40";"5";"1";"5";"0";"0";"0";"0";"0";"43";"5";"1";
"0";"0";"0";"0";"0";"0";"0";"2";"56";"18";"4";"2";"5";"0";"0";"0";"0";"0";"18";"2";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"29";"8";"4";"1";"5";"0";"1";"0";"0";"0";"7";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"3";"147";"35";"4";"2";"5";"0";"0";"0";"0";"1";"45";"3";"1";
"0";"0";"0";"0";"0";"1";"1";"0";"72";"48";"3";"2";"4";"0";"0";"0";"0";"0";"20";"7";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"56";"17";"2";"1";"4";"0";"0";"0";"0";"0";"10";"2";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"37";"4";"5";"3";"4";"0";"0";"0";"0";"0";"6";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"126";"16";"4";"1";"1";"0";"0";"0";"0";"0";"28";"1";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"38";"4";"3";"1";"2";"0";"0";"0";"0";"0";"6";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"42";"39";"6";"1";"6";"0";"0";"0";"0";"0";"11";"5";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"119";"44";"5";"3";"5";"0";"0";"0";"0";"0";"28";"8";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"34";"9";"3";"1";"6";"0";"0";"0";"0";"0";"9";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"221";"41";"4";"2";"2";"0";"0";"0";"0";"0";"45";"4";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"3";"12";"4";"3";"2";"0";"0";"0";"0";"0";"1";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"119";"44";"5";"3";"5";"0";"0";"0";"0";"0";"28";"8";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"36";"4";"2";"3";"5";"0";"0";"0";"0";"0";"7";"0";"1";
